,optimistic_time,best_guess_time,pessimistic_time
2018-5-1 00:00:00,150,194,234
2018-5-1 00:15:00,150,195,231
2018-5-1 00:30:00,155,197,213
2018-5-1 00:45:00,162,198,205
2018-5-1 01:00:00,156,193,203
2018-5-1 01:15:00,157,194,212
2018-5-1 01:30:00,152,189,207
2018-5-1 01:45:00,156,185,188
2018-5-1 02:00:00,157,182,199
2018-5-1 02:15:00,153,175,193
2018-5-1 02:30:00,157,178,193
2018-5-1 02:45:00,158,179,196
2018-5-1 03:00:00,159,183,190
2018-5-1 03:15:00,153,183,181
2018-5-1 03:30:00,150,177,188
2018-5-1 03:45:00,161,182,211
2018-5-1 04:00:00,180,186,204
2018-5-1 04:15:00,152,176,194
2018-5-1 04:30:00,151,173,177
2018-5-1 04:45:00,157,174,186
2018-5-1 05:00:00,153,172,177
2018-5-1 05:15:00,159,183,184
2018-5-1 05:30:00,165,194,195
2018-5-1 05:45:00,153,202,232
2018-5-1 06:00:00,157,203,221
2018-5-1 06:15:00,157,204,252
2018-5-1 06:30:00,152,202,205
2018-5-1 06:45:00,145,202,249
2018-5-1 07:00:00,142,199,238
2018-5-1 07:15:00,146,195,243
2018-5-1 07:30:00,139,194,251
2018-5-1 07:45:00,136,194,259
2018-5-1 08:00:00,142,188,228
2018-5-1 08:15:00,136,194,273
2018-5-1 08:30:00,139,194,260
2018-5-1 08:45:00,143,199,286
2018-5-1 09:00:00,142,206,284
2018-5-1 09:15:00,144,209,296
2018-5-1 09:30:00,142,215,287
2018-5-1 09:45:00,152,218,300
2018-5-1 10:00:00,150,222,348
2018-5-1 10:15:00,150,218,325
2018-5-1 10:30:00,155,217,288
2018-5-1 10:45:00,150,217,338
2018-5-1 11:00:00,150,216,297
2018-5-1 11:15:00,153,220,311
2018-5-1 11:30:00,157,221,315
2018-5-1 11:45:00,151,222,347
2018-5-1 12:00:00,160,225,320
2018-5-1 12:15:00,157,226,347
2018-5-1 12:30:00,156,229,332
2018-5-1 12:45:00,157,229,339
2018-5-1 13:00:00,162,231,358
2018-5-1 13:15:00,157,229,326
2018-5-1 13:30:00,157,227,322
2018-5-1 13:45:00,156,220,305
2018-5-1 14:00:00,157,221,322
2018-5-1 14:15:00,157,217,306
2018-5-1 14:30:00,150,214,299
2018-5-1 14:45:00,145,207,299
2018-5-1 15:00:00,140,201,284
2018-5-1 15:15:00,137,198,323
2018-5-1 15:30:00,136,194,305
2018-5-1 15:45:00,140,191,310
2018-5-1 16:00:00,141,192,287
2018-5-1 16:15:00,142,194,311
2018-5-1 16:30:00,143,199,316
2018-5-1 16:45:00,145,199,312
2018-5-1 17:00:00,144,203,325
2018-5-1 17:15:00,145,209,343
2018-5-1 17:30:00,150,214,348
2018-5-1 17:45:00,149,216,377
2018-5-1 18:00:00,148,219,388
2018-5-1 18:15:00,148,214,334
2018-5-1 18:30:00,148,213,355
2018-5-1 18:45:00,150,213,369
2018-5-1 19:00:00,149,212,335
2018-5-1 19:15:00,145,214,337
2018-5-1 19:30:00,149,218,338
2018-5-1 19:45:00,150,223,337
2018-5-1 20:00:00,147,221,338
2018-5-1 20:15:00,150,218,313
2018-5-1 20:30:00,145,213,331
2018-5-1 20:45:00,147,213,321
2018-5-1 21:00:00,147,208,303
2018-5-1 21:15:00,142,203,291
2018-5-1 21:30:00,147,199,262
2018-5-1 21:45:00,145,201,282
2018-5-1 22:00:00,142,201,286
2018-5-1 22:15:00,141,200,276
2018-5-1 22:30:00,143,197,262
2018-5-1 22:45:00,148,199,265
2018-5-1 23:00:00,147,207,299
2018-5-1 23:15:00,149,207,258
2018-5-1 23:30:00,150,204,259
2018-5-1 23:45:00,151,203,261
2018-5-2 00:00:00,153,204,246
2018-5-2 00:15:00,156,203,229
2018-5-2 00:30:00,155,198,224
2018-5-2 00:45:00,154,195,220
2018-5-2 01:00:00,155,196,210
2018-5-2 01:15:00,156,195,213
2018-5-2 01:30:00,156,194,196
2018-5-2 01:45:00,155,197,214
2018-5-2 02:00:00,157,191,205
2018-5-2 02:15:00,155,187,216
2018-5-2 02:30:00,160,178,189
2018-5-2 02:45:00,154,179,203
2018-5-2 03:00:00,156,176,177
2018-5-2 03:15:00,155,177,198
2018-5-2 03:30:00,160,178,181
2018-5-2 03:45:00,155,178,185
2018-5-2 04:00:00,158,174,181
2018-5-2 04:15:00,155,179,180
2018-5-2 04:30:00,151,180,192
2018-5-2 04:45:00,145,175,187
2018-5-2 05:00:00,154,178,200
2018-5-2 05:15:00,152,181,183
2018-5-2 05:30:00,159,187,192
2018-5-2 05:45:00,154,196,195
2018-5-2 06:00:00,154,207,206
2018-5-2 06:15:00,151,211,214
2018-5-2 06:30:00,139,212,252
2018-5-2 06:45:00,137,198,231
2018-5-2 07:00:00,142,191,217
2018-5-2 07:15:00,139,191,254
2018-5-2 07:30:00,140,194,248
2018-5-2 07:45:00,137,198,264
2018-5-2 08:00:00,138,197,278
2018-5-2 08:15:00,138,202,275
2018-5-2 08:30:00,143,205,280
2018-5-2 08:45:00,142,210,312
2018-5-2 09:00:00,141,213,318
2018-5-2 09:15:00,142,211,297
2018-5-2 09:30:00,148,210,319
2018-5-2 09:45:00,145,213,321
2018-5-2 10:00:00,154,215,317
2018-5-2 10:15:00,151,223,300
2018-5-2 10:30:00,151,229,369
2018-5-2 10:45:00,158,227,334
2018-5-2 11:00:00,153,224,303
2018-5-2 11:15:00,155,217,323
2018-5-2 11:30:00,151,217,315
2018-5-2 11:45:00,158,218,300
2018-5-2 12:00:00,157,225,334
2018-5-2 12:15:00,160,229,329
2018-5-2 12:30:00,160,237,367
2018-5-2 12:45:00,162,238,341
2018-5-2 13:00:00,160,233,350
2018-5-2 13:15:00,156,232,334
2018-5-2 13:30:00,159,224,324
2018-5-2 13:45:00,158,222,322
2018-5-2 14:00:00,159,220,297
2018-5-2 14:15:00,158,224,324
2018-5-2 14:30:00,154,219,295
2018-5-2 14:45:00,140,209,336
2018-5-2 15:00:00,140,199,291
2018-5-2 15:15:00,144,192,296
2018-5-2 15:30:00,141,195,312
2018-5-2 15:45:00,142,194,301
2018-5-2 16:00:00,145,197,298
2018-5-2 16:15:00,143,197,317
2018-5-2 16:30:00,143,200,313
2018-5-2 16:45:00,153,206,328
2018-5-2 17:00:00,158,223,370
2018-5-2 17:15:00,158,233,363
2018-5-2 17:30:00,155,232,413
2018-5-2 17:45:00,150,226,386
2018-5-2 18:00:00,153,220,395
2018-5-2 18:15:00,151,220,339
2018-5-2 18:30:00,149,221,355
2018-5-2 18:45:00,149,223,366
2018-5-2 19:00:00,152,222,375
2018-5-2 19:15:00,149,223,347
2018-5-2 19:30:00,147,226,370
2018-5-2 19:45:00,151,221,355
2018-5-2 20:00:00,151,220,349
2018-5-2 20:15:00,152,216,311
2018-5-2 20:30:00,148,219,342
2018-5-2 20:45:00,149,219,325
2018-5-2 21:00:00,154,219,317
2018-5-2 21:15:00,149,220,323
2018-5-2 21:30:00,149,221,319
