,optimistic_time,best_guess_time,pessimistic_time
2018-5-1 00:00:00,147,201,275
2018-5-1 00:15:00,145,198,257
2018-5-1 00:30:00,144,198,254
2018-5-1 00:45:00,140,192,239
2018-5-1 01:00:00,146,193,234
2018-5-1 01:15:00,149,200,230
2018-5-1 01:30:00,155,211,258
2018-5-1 01:45:00,149,217,286
2018-5-1 02:00:00,151,205,227
2018-5-1 02:15:00,160,195,235
2018-5-1 02:30:00,147,192,223
2018-5-1 02:45:00,158,183,187
2018-5-1 03:00:00,154,181,208
2018-5-1 03:15:00,150,178,191
2018-5-1 03:30:00,144,174,178
2018-5-1 03:45:00,143,177,196
2018-5-1 04:00:00,144,174,172
2018-5-1 04:15:00,146,178,178
2018-5-1 04:30:00,135,172,196
2018-5-1 04:45:00,133,165,172
2018-5-1 05:00:00,140,168,183
2018-5-1 05:15:00,136,169,174
2018-5-1 05:30:00,130,173,198
2018-5-1 05:45:00,133,176,205
2018-5-1 06:00:00,128,178,213
2018-5-1 06:15:00,120,175,262
2018-5-1 06:30:00,119,171,233
2018-5-1 06:45:00,120,166,239
2018-5-1 07:00:00,122,167,265
2018-5-1 07:15:00,123,172,265
2018-5-1 07:30:00,130,177,283
2018-5-1 07:45:00,132,184,286
2018-5-1 08:00:00,137,193,300
2018-5-1 08:15:00,140,194,308
2018-5-1 08:30:00,141,196,321
2018-5-1 08:45:00,142,201,321
2018-5-1 09:00:00,137,192,314
2018-5-1 09:15:00,135,188,314
2018-5-1 09:30:00,135,189,312
2018-5-1 09:45:00,137,190,303
2018-5-1 10:00:00,135,192,316
2018-5-1 10:15:00,137,194,315
2018-5-1 10:30:00,140,198,313
2018-5-1 10:45:00,138,205,338
2018-5-1 11:00:00,140,203,334
2018-5-1 11:15:00,139,204,335
2018-5-1 11:30:00,140,204,336
2018-5-1 11:45:00,143,206,353
2018-5-1 12:00:00,142,207,331
2018-5-1 12:15:00,143,206,345
2018-5-1 12:30:00,141,209,354
2018-5-1 12:45:00,142,205,342
2018-5-1 13:00:00,143,204,345
2018-5-1 13:15:00,140,203,347
2018-5-1 13:30:00,144,203,320
2018-5-1 13:45:00,142,202,325
2018-5-1 14:00:00,139,201,337
2018-5-1 14:15:00,141,198,320
2018-5-1 14:30:00,136,199,330
2018-5-1 14:45:00,140,199,331
2018-5-1 15:00:00,141,197,323
2018-5-1 15:15:00,142,197,331
2018-5-1 15:30:00,145,201,340
2018-5-1 15:45:00,147,205,336
2018-5-1 16:00:00,150,205,348
2018-5-1 16:15:00,159,212,338
2018-5-1 16:30:00,159,224,385
2018-5-1 16:45:00,159,227,377
2018-5-1 17:00:00,161,229,367
2018-5-1 17:15:00,157,230,377
2018-5-1 17:30:00,158,233,393
2018-5-1 17:45:00,158,221,382
2018-5-1 18:00:00,151,217,356
2018-5-1 18:15:00,151,214,364
2018-5-1 18:30:00,147,212,366
2018-5-1 18:45:00,150,218,372
2018-5-1 19:00:00,148,214,366
2018-5-1 19:15:00,144,214,375
2018-5-1 19:30:00,144,209,352
2018-5-1 19:45:00,148,209,349
2018-5-1 20:00:00,142,215,364
2018-5-1 20:15:00,140,212,365
2018-5-1 20:30:00,145,206,335
2018-5-1 20:45:00,139,208,345
2018-5-1 21:00:00,138,205,324
2018-5-1 21:15:00,139,205,333
2018-5-1 21:30:00,134,203,358
2018-5-1 21:45:00,140,202,332
2018-5-1 22:00:00,138,205,334
2018-5-1 22:15:00,137,204,330
2018-5-1 22:30:00,139,209,335
2018-5-1 22:45:00,142,206,329
2018-5-1 23:00:00,144,208,322
2018-5-1 23:15:00,145,208,331
2018-5-1 23:30:00,147,207,324
2018-5-1 23:45:00,148,206,315
2018-5-2 00:00:00,143,202,333
2018-5-2 00:15:00,151,197,265
2018-5-2 00:30:00,148,200,272
2018-5-2 00:45:00,148,201,270
2018-5-2 01:00:00,144,199,274
2018-5-2 01:15:00,152,197,238
2018-5-2 01:30:00,149,196,240
2018-5-2 01:45:00,147,198,227
2018-5-2 02:00:00,147,198,258
2018-5-2 02:15:00,152,197,228
2018-5-2 02:30:00,151,193,225
2018-5-2 02:45:00,152,190,209
2018-5-2 03:00:00,143,188,208
2018-5-2 03:15:00,142,181,200
2018-5-2 03:30:00,149,172,191
2018-5-2 03:45:00,149,169,181
2018-5-2 04:00:00,139,178,192
2018-5-2 04:15:00,149,184,190
2018-5-2 04:30:00,138,182,202
